region,year,month,milk_production(tons),meat_production(tons),milk_lag_1(tons),milk_lag_3(tons),milk_lag_6(tons),meat_lag_1(tons),meat_lag_3(tons),meat_lag_6,milk_mom_change(%),meat_mom_change,food_shock_risk,predicted_risk,risk_probability
Абай,2024,7,"171118,2","68229,3","136880,1","67776,3","9299,7","57487,8","29931,9","5339,3","0,2501320499","0,18684834",1,1,"0,9999965297"
Акмолинская,2024,7,"138918,3","115745,9","112650,7","60314,9","10829,7","100778,5","64381,9",15513,"0,2331774237","0,148517789",1,1,"0,9949676939"
Актюбинская,2024,7,"101035,1","61189,8","78923,9","37674,9","3531,9","54884,2","34535,4","7483,5","0,2801584818","0,1148891666",1,1,"0,9900545163"
Алматинская,2024,7,"156307,6","139545,4","126583,3","71513,5","18455,6","123550,5",75230,"16375,3","0,234820075","0,1294604231",1,1,"0,9409707921"
Атырауская,2024,7,"18328,3","24439,6","15523,6",6715,"1105,5","22086,7","12857,1","2667,4","0,1806732974","0,1065301743",1,0,"0,2238645496"
Западно-Казахстанская,2024,7,"138026,7","54040,2","110998,1","37232,1","3219,2",47646,"26783,7","5384,6","0,243505069","0,1342022415",1,1,"0,9996460406"
Жамбылская,2024,7,"128864,4","61532,1","106656,1","56102,7","11727,3","54465,8","32388,2","7535,1","0,2082234396","0,1297382945",1,1,"0,9384339447"
Жетісу,2024,7,"121600,1","47952,7","100481,5","56072,4","10557,7","44791,5",24192,"4524,7","0,2101740121","0,07057589051",1,0,"0,3617358682"
Карагандинская,2024,7,"122659,6","46710,9","100424,1","44033,7",4432,"41466,4",21240,5438,"0,2214159749","0,1264758937",1,1,"0,9886722609"
Костанайская,2024,7,"150423,8","43791,8","126700,2","60944,1","11065,4","40766,7","23159,2","5669,4","0,1872420091","0,07420517236",1,1,"0,5144484739"
Кызылординская,2024,7,"25162,5","19469,7","20852,6","12701,7",2911,"16776,6",10981,"3078,6","0,2066840586","0,1605271628",1,1,"0,6324673548"
Павлодарская,2024,7,"139489,7","57117,1","112989,8","63892,8","13562,1",46842,"26796,9","6175,3","0,2345335597","0,2193565604",1,1,"0,9999665769"
Северо-Казахстанская,2024,7,"219476,7","37013,5","174285,5",89817,"16696,6","29738,4","20264,7","7211,4","0,2592940893","0,2446365642",1,1,"0,9999999779"
Туркестанская,2024,7,"280179,4","112864,8","240536,2","134762,5","26380,9","100687,4","64448,2","14479,7","0,164811783","0,1209426403",0,0,"0,1509198982"
